epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,3066.64,1.16844,0.72688,1.07774,0.92463,0.86127,0.91814,0.59956,1.28926,0.75352,1.05075,0.00802,0.00802,0.00802
62,3116.65,1.16666,0.7214,1.07915,0.93525,0.87386,0.92431,0.60653,1.28301,0.72161,1.02653,0.007987,0.007987,0.007987
63,3166.67,1.18197,0.732,1.09108,0.93462,0.88128,0.93033,0.63574,1.21866,0.70975,1.01888,0.007954,0.007954,0.007954
64,3216.57,1.17719,0.7326,1.08393,0.93272,0.87043,0.92474,0.63086,1.22698,0.7193,1.00901,0.007921,0.007921,0.007921
65,3266.5,1.1644,0.70746,1.07046,0.92105,0.85902,0.91594,0.62646,1.23779,0.72833,1.01891,0.007888,0.007888,0.007888
66,3316.4,1.17144,0.72691,1.07975,0.9505,0.87671,0.92966,0.6414,1.23631,0.72054,1.00813,0.007855,0.007855,0.007855
67,3366.44,1.16045,0.71046,1.07558,0.94085,0.86244,0.92125,0.62946,1.24186,0.74305,1.02446,0.007822,0.007822,0.007822
68,3416.33,1.17516,0.73002,1.08029,0.94448,0.85445,0.91632,0.61148,1.33344,0.71908,1.03696,0.007789,0.007789,0.007789
69,3466.26,1.16082,0.715,1.07253,0.94867,0.87557,0.92951,0.63067,1.24847,0.6983,1.01221,0.007756,0.007756,0.007756
70,3516.2,1.15906,0.70697,1.07509,0.95446,0.8613,0.92141,0.63785,1.21626,0.70318,1.01037,0.007723,0.007723,0.007723
71,3566.16,1.16544,0.7125,1.07159,0.94112,0.87272,0.92833,0.63328,1.21764,0.69514,1.00702,0.00769,0.00769,0.00769
72,3616.1,1.15305,0.70397,1.065,0.92812,0.83276,0.90294,0.58969,1.31091,0.74235,1.03166,0.007657,0.007657,0.007657
73,3666.18,1.15817,0.70744,1.0744,0.94756,0.88699,0.93568,0.62717,1.27665,0.69329,1.01896,0.007624,0.007624,0.007624
74,3716.31,1.15831,0.70259,1.06684,0.92735,0.89612,0.93591,0.6321,1.23416,0.69847,1.00937,0.007591,0.007591,0.007591
75,3766.33,1.1609,0.69185,1.08054,0.94883,0.87842,0.93062,0.63361,1.24506,0.69043,1.01882,0.007558,0.007558,0.007558
76,3816.24,1.14269,0.69795,1.06489,0.9602,0.88128,0.93485,0.64614,1.1982,0.68629,1.01222,0.007525,0.007525,0.007525
77,3866.3,1.15459,0.70078,1.07112,0.94173,0.89669,0.94752,0.64544,1.22354,0.69568,1.00767,0.007492,0.007492,0.007492
78,3916.57,1.15326,0.70447,1.07019,0.95111,0.90126,0.94892,0.62901,1.29675,0.69456,1.02192,0.007459,0.007459,0.007459
79,3966.46,1.14517,0.68819,1.06789,0.95974,0.85731,0.92233,0.63557,1.22206,0.69173,1.01535,0.007426,0.007426,0.007426
80,4016.56,1.14778,0.69318,1.06532,0.91918,0.9218,0.95202,0.63936,1.24493,0.69263,1.00583,0.007393,0.007393,0.007393
81,4066.56,1.15047,0.69592,1.06583,0.94387,0.89269,0.93805,0.62494,1.29504,0.69698,1.02871,0.00736,0.00736,0.00736
82,4116.61,1.14646,0.69261,1.06328,0.92654,0.90696,0.94718,0.64758,1.20602,0.67814,0.99517,0.007327,0.007327,0.007327
83,4166.59,1.14705,0.68892,1.06274,0.95383,0.89612,0.94221,0.64468,1.2292,0.68492,1.00411,0.007294,0.007294,0.007294
84,4216.6,1.13568,0.686,1.06302,0.93717,0.9024,0.94355,0.63556,1.24653,0.67126,1.01087,0.007261,0.007261,0.007261
85,4266.56,1.14322,0.6849,1.06554,0.94319,0.89326,0.94273,0.63877,1.23117,0.68577,1.00344,0.007228,0.007228,0.007228
86,4316.63,1.12503,0.68617,1.06011,0.93908,0.8974,0.9461,0.63789,1.25003,0.66713,1.00884,0.007195,0.007195,0.007195
87,4366.67,1.13967,0.68954,1.06833,0.94718,0.89041,0.9383,0.64181,1.22984,0.6669,1.00247,0.007162,0.007162,0.007162
88,4416.74,1.13015,0.68275,1.05103,0.93519,0.89441,0.93949,0.64779,1.20083,0.67816,0.99699,0.007129,0.007129,0.007129
89,4466.7,1.12783,0.67916,1.05189,0.9618,0.87671,0.93207,0.65354,1.17474,0.67207,0.98825,0.007096,0.007096,0.007096
90,4516.73,1.12396,0.67697,1.04923,0.95253,0.88185,0.93312,0.62705,1.27853,0.67255,1.0046,0.007063,0.007063,0.007063
91,4566.74,1.12826,0.67378,1.05653,0.93151,0.90827,0.9474,0.65195,1.1874,0.6643,0.98855,0.00703,0.00703,0.00703
92,4616.8,1.11621,0.66415,1.0501,0.94603,0.89041,0.93733,0.65672,1.1899,0.66432,0.99198,0.006997,0.006997,0.006997
93,4666.9,1.12098,0.67397,1.05266,0.93283,0.89577,0.9475,0.65728,1.17522,0.65716,0.98629,0.006964,0.006964,0.006964
94,4717.01,1.1239,0.67048,1.0515,0.92991,0.90869,0.95033,0.66055,1.18202,0.68841,0.99186,0.006931,0.006931,0.006931
95,4767.04,1.1209,0.68017,1.05278,0.96477,0.89098,0.94085,0.65373,1.20088,0.64604,0.98568,0.006898,0.006898,0.006898
96,4817.07,1.12216,0.67815,1.05196,0.94535,0.8984,0.94064,0.66022,1.17814,0.65802,0.9812,0.006865,0.006865,0.006865
97,4867.18,1.11868,0.6733,1.05311,0.93571,0.90126,0.95173,0.6581,1.19121,0.68043,0.987,0.006832,0.006832,0.006832
98,4917.15,1.12153,0.66579,1.04805,0.941,0.89212,0.93668,0.65805,1.16849,0.65488,0.99408,0.006799,0.006799,0.006799
99,4967.17,1.11564,0.65575,1.05292,0.95777,0.89326,0.9399,0.659,1.18539,0.64402,0.99362,0.006766,0.006766,0.006766
100,5017.22,1.10666,0.65283,1.04424,0.93319,0.90888,0.95179,0.66307,1.1585,0.65022,0.98531,0.006733,0.006733,0.006733
101,5067.34,1.11549,0.65448,1.04569,0.94416,0.90811,0.94926,0.65324,1.20718,0.64024,1.00008,0.0067,0.0067,0.0067
102,5117.46,1.12017,0.6634,1.04931,0.93996,0.91153,0.9484,0.65054,1.22456,0.65655,0.98966,0.006667,0.006667,0.006667
103,5167.56,1.10297,0.65454,1.04288,0.94943,0.91096,0.94847,0.66801,1.18204,0.63981,0.97996,0.006634,0.006634,0.006634
104,5217.71,1.09652,0.63835,1.03927,0.94544,0.90989,0.95245,0.6755,1.14812,0.63296,0.97521,0.006601,0.006601,0.006601
105,5267.86,1.1068,0.65182,1.03751,0.9542,0.90376,0.95075,0.66462,1.14764,0.62551,0.983,0.006568,0.006568,0.006568
106,5317.82,1.08908,0.64575,1.03614,0.94973,0.89498,0.94172,0.66273,1.19085,0.63677,0.9774,0.006535,0.006535,0.006535
107,5367.88,1.10982,0.66205,1.04161,0.95123,0.90525,0.95248,0.666,1.18825,0.64114,0.98678,0.006502,0.006502,0.006502
108,5417.95,1.10884,0.65067,1.04574,0.94287,0.91381,0.95025,0.65259,1.22423,0.66488,0.99192,0.006469,0.006469,0.006469
109,5468.09,1.10458,0.65224,1.0396,0.93771,0.91781,0.95146,0.67193,1.14806,0.62277,0.97626,0.006436,0.006436,0.006436
110,5518.2,1.10551,0.63506,1.04281,0.95015,0.90297,0.94462,0.66961,1.15072,0.62467,0.98067,0.006403,0.006403,0.006403
111,5568.28,1.09681,0.63955,1.04147,0.96479,0.89155,0.9395,0.66907,1.16483,0.61747,0.97742,0.00637,0.00637,0.00637
112,5618.54,1.10874,0.64814,1.04077,0.94523,0.9161,0.95138,0.66716,1.16641,0.63588,0.97967,0.006337,0.006337,0.006337
113,5668.65,1.10611,0.64255,1.04103,0.95295,0.91327,0.95459,0.67171,1.17154,0.6175,0.98006,0.006304,0.006304,0.006304
114,5718.73,1.111,0.64683,1.04183,0.95104,0.90925,0.94767,0.66136,1.16863,0.6263,0.97999,0.006271,0.006271,0.006271
115,5768.87,1.0942,0.64802,1.03837,0.94634,0.9161,0.95162,0.65156,1.23924,0.63035,0.9774,0.006238,0.006238,0.006238
116,5818.9,1.09774,0.64029,1.03839,0.94815,0.90811,0.94702,0.67308,1.16059,0.62373,0.97065,0.006205,0.006205,0.006205
117,5869,1.10408,0.63834,1.03482,0.96504,0.91381,0.95919,0.67926,1.14656,0.61818,0.97692,0.006172,0.006172,0.006172
118,5919.16,1.08326,0.62689,1.02716,0.96151,0.91245,0.96006,0.67776,1.13731,0.61789,0.9775,0.006139,0.006139,0.006139
119,5969.14,1.08735,0.6372,1.03575,0.97132,0.90868,0.94996,0.66959,1.16703,0.60662,0.97808,0.006106,0.006106,0.006106
120,6019.16,1.08828,0.63134,1.03077,0.96493,0.91096,0.95103,0.67724,1.13766,0.6075,0.97042,0.006073,0.006073,0.006073
121,6069.13,1.08863,0.63134,1.03679,0.95736,0.90982,0.94891,0.67341,1.1459,0.62177,0.97777,0.00604,0.00604,0.00604
122,6119.21,1.07962,0.63023,1.02479,0.94351,0.92466,0.95577,0.67902,1.12877,0.60968,0.97773,0.006007,0.006007,0.006007
123,6169.31,1.09208,0.63206,1.03494,0.95162,0.92066,0.95411,0.67446,1.15328,0.61651,0.97638,0.005974,0.005974,0.005974
124,6219.31,1.08055,0.62694,1.03115,0.96564,0.91433,0.95354,0.67463,1.14406,0.60791,0.97781,0.005941,0.005941,0.005941
125,6269.35,1.09123,0.63282,1.0277,0.95623,0.92277,0.95759,0.67812,1.15007,0.6011,0.97255,0.005908,0.005908,0.005908
126,6319.53,1.07947,0.62685,1.03669,0.9649,0.9121,0.95451,0.68083,1.13631,0.61418,0.97584,0.005875,0.005875,0.005875
127,6369.65,1.08131,0.62457,1.03041,0.96113,0.90868,0.9497,0.68443,1.12208,0.60596,0.96885,0.005842,0.005842,0.005842
